Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total Sediment, 1985 (T)","Total Sediment, 2007 (T)","Total Sediment, 2009 (T)","Total Sediment, 2010 (T)","Total Sediment, 2011 (T)","Total Sediment, 2012 (T)","Total Sediment, 2013 (T)","Total Sediment, 2014 (T)","Total Sediment, 2015 (T)","Total Sediment, 2016 (T)","Total Sediment Target, 2017 (T)","Total Sediment Target, 2025 (T)"
A24001PU0_3871_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,311702.3824,173206.9939,152660.342,166843.8292,152533.864,159672.226,104476.3759,150035.0978,134869.2308,132823.1995,,
A24001PU0_3871_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,1303614.5,1213122.703,1176628.906,1180808.406,1183916.594,1196497.5,1183955.203,1084949.279,1057641.386,1126670.672,,
A24001PU0_3871_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU0_3871_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU0_3871_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,913698.5973,590916.5037,586669.0227,585777.4116,579858.2537,580363.7818,1213053.167,640105.2339,648142.1815,624908.1134,,
A24001PU0_3871_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,1128.93103,35.15352178,373.2082322,96.53056336,182.9626083,49.94720841,270.5512962,1132.143979,75.14363098,24.77734375,,
A24001PU1_3100_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,670136.6275,382054.0581,339258.6609,368001.5491,337242.0732,350669.8037,243903.63,335784.0672,304833.6733,299798.7041,,
A24001PU1_3100_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,369810.8672,361236.7188,351450.4844,353283.6563,354998.0938,359287.5156,353835.0039,322496.6035,315254.4875,336481.9063,,
A24001PU1_3100_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3100_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3100_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,359661.2774,284025.1661,281798.0191,281158.7969,278102.6778,278679.8438,360063.6953,289524.6065,293206.6172,291034.7227,,
A24001PU1_3100_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,0,0,0,14.74368,14.74368,14.74368,14.75580025,14.75580025,14.75580025,14.75580025,,
A24001PU1_3580_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,923250.4763,506356.5855,444545.8021,487751.6835,445432.4415,467843.3176,331030.207,465957.7139,420275.1392,414614.7124,,
A24001PU1_3580_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,507485.8125,477242.625,462856.5977,463870.8594,465025.7422,469214.7852,482188.1914,431459.7061,422311.8853,450598.8379,,
A24001PU1_3580_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3580_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3580_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,1162205.586,1637708.774,1486322.11,1505995.625,1494593.094,1735184.313,1255221.375,1176023.188,1100009.148,1108332.047,,
A24001PU1_3580_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,204808.3792,205367.1869,205374.2028,205414.109,259575.1661,259607.519,259614.3231,259642.0197,259804.421,260071.5531,,
A24001PU2_3180_3370,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,110387.2973,61107.77231,53798.64583,58869.88895,53799.06193,56370.21309,41652.38846,57324.65711,51949.07544,51226.25275,,
